Sample,AgeID,N1of1,ID,A,B,C,E,F,G,H1,H2,H3,H4,H5,K1,K2,K3,L,M,N1,N2,O,P,Q,R1,R2,R3,R4,AR,LEN,WID,Morphotype Name
Morphotypes,0,1,Morphotypes1,1,1,2,1,1,3,2,1,3,2,5,0,0,0,2,2,1,3,1,2,2,2,1,1,4,99,0,0,"Acrodin Tip, 1/2 length Concave Root"
Morphotypes,0,2,Morphotypes2,1,1,2,1,1,3,2,1,3,2,4,0,0,0,2,1,1,1,1,3,2,2,2,1,1,99,0,0,"Acrodin Tip, 1/2 length Concave root, flared blades"
Morphotypes,0,3,Morphotypes3,1,1,2,1,1,3,2,1,3,2,1,0,0,0,2,2,1,1,1,2,2,2,1,1,2,99,0,0,"Acrodin Tip, 1/2 length Concave Root, no tips"
Morphotypes,0,4,Morphotypes4,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,2,1,1,3,3,7,2,1,3,99,0,0,"Acrodin Tip, 1/2 length convex root"
Morphotypes,0,5,Morphotypes5,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,1,1,1,3,2,4,3,3,4,99,0,0,"Acrodin Tip, 1/2 length funnel root"
Morphotypes,0,6,Morphotypes6,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,2,2,1,3,2,1,2,2,2,99,0,0,"Acrodin Tip, 1/2 length straight root"
Morphotypes,0,7,Morphotypes7,1,1,2,1,1,3,2,1,3,2,5,0,0,0,2,2,1,1,1,3,2,1,2,2,1,99,0,0,"Acrodin Tip, 1/2 length straight root, flare blades"
Morphotypes,0,8,Morphotypes8,1,1,2,1,1,3,2,1,3,2,1,0,0,0,2,2,2,2,1,2,1,1,2,1,2,99,0,0,"Acrodin Tip, 1/4 length concave root"
Morphotypes,0,9,Morphotypes9,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,1,1,1,3,1,3,3,2,3,99,0,0,"Acrodin Tip, 1/4 length dome root"
Morphotypes,0,10,Morphotypes10,1,1,2,1,1,3,2,1,1,1,1,0,0,0,2,2,1,1,1,3,3,2,1,2,4,99,0,0,"Acrodin Tip, 3/4 length concave root"
Morphotypes,0,11,Morphotypes11,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,2,1,1,3,3,3,2,3,2,99,0,0,"Acrodin Tip, 3/4 length convex root"
Morphotypes,0,12,Morphotypes12,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,2,4,1,3,3,1,2,2,1,99,0,0,"Acrodin Tip, 3/4 length straight root"
Morphotypes,0,13,Morphotypes13,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,1,1,1,3,3,1,2,2,1,99,0,0,"Acrodin Tip, Cone-like, Big blades"
Morphotypes,0,14,Morphotypes14,1,1,1,1,3,1,1,0,0,0,0,0,0,0,3,4,1,1,1,2,1,3,3,2,3,99,0,0,"Acrodin Tip, Cone, small dome root"
Morphotypes,0,15,Morphotypes15,1,1,2,3,1,3,2,1,1,1,1,0,0,0,3,2,1,1,1,4,2,1,2,2,1,99,0,0,"Acrodin Tip, convex tooth, straight 1/2 root"
Morphotypes,0,16,Morphotypes16,1,1,2,3,1,3,2,1,1,1,1,0,0,0,3,2,1,1,1,3,3,1,2,2,2,99,0,0,"Acrodin Tip, convex tooth, straight 3/4 root"
Morphotypes,0,17,Morphotypes17,1,1,2,2,3,2,1,0,0,0,0,0,0,0,3,2,1,1,1,3,2,3,3,2,3,99,0,0,"Acrodin Tip, Convex, Curved"
Morphotypes,0,18,Morphotypes18,1,1,2,2,4,3,3,3,3,2,5,1,4,2,2,2,2,1,1,4,2,2,1,1,1,99,0,0,"Acrodin Tip, Curve, 1/2 concave root"
Morphotypes,0,19,Morphotypes19,1,1,2,2,4,3,2,1,1,2,1,0,0,0,2,2,1,1,1,4,4,1,2,2,1,99,0,0,"Acrodin Tip, curve, full root"
Morphotypes,0,20,Morphotypes20,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,1,1,1,4,3,1,3,2,3,99,0,0,"Acrodin Tip, Dome Root"
Morphotypes,0,21,Morphotypes21,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,2,1,1,3,3,4,2,2,5,99,0,0,"Acrodin Tip, extended long root"
Morphotypes,0,22,Morphotypes22,1,1,2,1,1,3,2,1,3,2,1,0,0,0,2,2,1,1,1,3,3,1,2,1,3,99,0,0,"Acrodin Tip, Flared Blades"
Morphotypes,0,23,Morphotypes23,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,2,2,1,4,3,1,2,2,1,99,0,0,"Acrodin Tip, no obvious root"
Morphotypes,0,24,Morphotypes24,1,1,2,1,3,3,2,1,4,2,1,0,0,0,1,2,1,1,1,4,2,1,2,2,2,99,0,0,"Acrodin Tip, pointy convex, 1/2 root"
Morphotypes,0,25,Morphotypes25,1,1,2,1,5,3,2,1,4,2,1,0,0,0,2,2,1,1,1,4,3,1,2,1,2,99,0,0,"Acrodin Tip, right, convex"
Morphotypes,0,26,Morphotypes26,1,1,2,1,1,3,2,1,1,1,1,0,0,0,2,2,1,1,1,4,2,1,2,3,3,99,0,0,"Acrodin Tip, small blades"
Morphotypes,0,27,Morphotypes27,1,1,2,1,1,3,2,1,4,2,1,0,0,0,2,4,1,1,1,4,3,1,2,3,3,99,0,0,"Acrodin Tip, Thick Blades, Big root"
Morphotypes,0,28,Morphotypes28,1,1,2,1,3,3,2,1,4,2,1,0,0,0,2,4,1,1,1,4,2,1,2,2,1,99,0,0,"Acrodin Tip, Thick Blades, Small root"
Morphotypes,0,29,Morphotypes29,1,1,1,1,3,3,2,1,1,1,1,0,0,0,3,1,1,1,1,4,3,3,3,2,2,99,0,0,Bladed cone
Morphotypes,0,30,Morphotypes30,1,1,1,1,3,2,2,1,1,1,1,0,0,0,3,2,1,1,1,4,3,1,2,2,2,99,0,0,Bladed cone (acrodin tip)
Morphotypes,0,31,Morphotypes31,1,1,1,2,3,2,2,1,1,1,1,0,0,0,3,2,1,1,1,4,3,1,2,2,3,99,0,0,"Bladed cone (acrodin tip), curved"
Morphotypes,0,32,Morphotypes32,1,1,1,2,1,3,2,1,1,1,1,0,0,0,2,1,1,1,1,4,2,3,2,3,3,99,0,0,"Bladed cone, curved"
Morphotypes,0,33,Morphotypes33,1,1,1,1,1,3,3,3,3,2,4,0,0,0,2,1,1,1,1,4,3,2,1,2,5,99,0,0,Bladed cone single blade
Morphotypes,0,34,Morphotypes34,1,1,1,1,1,2,2,1,1,1,1,0,0,0,2,3,1,1,1,3,2,3,3,2,3,99,0,0,Bladed cone small root acrodin tip
Morphotypes,0,35,Morphotypes35,1,1,1,1,1,3,2,1,1,1,1,0,0,0,2,1,1,1,1,4,2,1,2,2,2,99,0,0,Bladed cone straight no flare
Morphotypes,0,36,Morphotypes36,1,1,2,1,1,3,2,1,2,2,3,0,0,0,2,1,1,1,1,4,3,4,2,2,4,99,0,0,Blades on top
Morphotypes,0,37,Morphotypes37,1,1,1,1,1,3,2,1,2,2,3,0,0,0,2,2,1,1,1,3,1,3,3,3,3,99,0,0,Blades on top (cone)
Morphotypes,0,38,Morphotypes38,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,1,1,1,1,4,2,3,3,3,5,99,0,0,"Clear, 1/2 convex root"
Morphotypes,0,39,Morphotypes39,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1,1,1,1,4,2,3,3,3,3,99,0,0,"Clear, 1/2 dome root"
Morphotypes,0,40,Morphotypes40,1,1,2,1,1,3,2,1,1,3,1,0,0,0,2,1,1,1,1,3,2,2,3,2,3,99,0,0,"Clear, 1/2 straight dome root"
Morphotypes,0,41,Morphotypes41,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,1,1,1,1,3,2,2,2,2,2,99,0,0,"Clear, 1/2 straight root"
Morphotypes,0,42,Morphotypes42,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,1,1,1,3,2,3,3,3,3,99,0,0,"Clear, 1/3 dome root"
Morphotypes,0,43,Morphotypes43,1,1,2,1,1,3,2,1,1,1,1,0,0,0,2,1,1,1,1,4,1,1,2,2,2,99,0,0,"Clear, 1/4 straight root"
Morphotypes,0,44,Morphotypes44,1,1,2,1,3,3,2,1,1,1,1,0,0,0,2,1,1,1,1,4,1,1,2,2,2,99,0,0,"Clear, 1/4 straight root, convex tooth"
Morphotypes,0,45,Morphotypes45,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,1,1,1,1,4,3,2,1,2,4,99,0,0,"Clear, 3/4 concave root"
Morphotypes,0,46,Morphotypes46,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,1,1,1,1,4,3,1,3,2,3,99,0,0,"Clear, 3/4 Dome root"
Morphotypes,0,47,Morphotypes47,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,1,1,1,1,3,3,1,2,2,1,99,0,0,"Clear, 3/4 straight root"
Morphotypes,0,48,Morphotypes48,1,1,2,1,1,3,2,1,1,1,1,0,0,0,2,1,1,1,1,2,3,5,2,2,2,99,0,0,"Clear, 3/4 thin root"
Morphotypes,0,49,Morphotypes49,1,1,2,1,2,3,2,1,3,1,1,0,0,0,2,1,1,1,1,4,1,3,2,2,2,99,0,0,"Clear, concave tooth, 1/4 root"
Morphotypes,0,50,Morphotypes50,1,1,2,1,2,3,2,1,1,2,1,0,0,0,2,1,1,1,1,4,4,1,3,2,1,99,0,0,"Clear, concave tooth, full root"
Morphotypes,0,51,Morphotypes51,1,1,2,1,3,3,2,1,3,2,1,0,0,0,2,1,1,1,1,3,1,3,3,2,3,99,0,0,"Clear, convex tooth, 1/4 dome root"
Morphotypes,0,52,Morphotypes52,1,1,2,1,3,3,2,1,1,2,1,0,0,0,3,1,1,1,1,4,4,3,3,2,3,99,0,0,"Clear, convex tooth, dome root"
Morphotypes,0,53,Morphotypes53,1,1,2,1,3,3,2,1,1,1,1,0,0,0,3,1,1,1,1,4,4,3,3,2,3,99,0,0,"Clear, convex tooth, dome root, small blades"
Morphotypes,0,54,Morphotypes54,1,1,2,2,1,3,2,1,1,2,1,0,0,0,2,1,1,1,1,3,2,2,2,2,2,99,0,0,"Clear, curved, 1/2 root"
Morphotypes,0,55,Morphotypes55,1,1,2,3,4,3,2,1,1,2,1,0,0,0,2,1,2,1,1,4,3,2,2,1,4,99,0,0,"Clear, curved, concave root"
Morphotypes,0,56,Morphotypes56,1,1,2,2,1,3,2,1,1,2,1,0,0,0,2,1,1,1,1,4,4,1,2,2,2,99,0,0,"Clear, curved, full root"
Morphotypes,0,57,Morphotypes57,1,1,2,1,1,3,2,1,1,2,1,1,2,3,2,1,1,1,1,3,3,2,2,2,1,99,0,0,"Clear, flange, straight"
Morphotypes,0,58,Morphotypes58,1,1,2,1,1,3,2,1,3,2,4,0,0,0,2,1,1,1,1,3,2,2,2,3,4,99,0,0,"Clear, flared blades (small), cocnave root"
Morphotypes,0,59,Morphotypes59,1,1,2,1,1,3,2,1,3,2,1,0,0,0,2,1,1,1,1,4,2,1,3,2,2,99,0,0,"Clear, flared blades, 1/2 root"
Morphotypes,0,60,Morphotypes60,1,1,2,1,1,3,2,1,3,2,1,0,0,0,2,1,1,1,1,4,3,1,3,2,2,99,0,0,"Clear, flared blades, 3/4 root"
Morphotypes,0,61,Morphotypes61,1,1,2,1,1,3,2,1,3,2,5,0,0,0,2,1,1,1,1,3,3,2,1,1,1,99,0,0,"Clear, flared blades, concave root"
Morphotypes,0,62,Morphotypes62,1,1,2,2,1,3,2,1,1,2,1,0,0,0,2,1,2,2,1,3,2,2,1,1,2,99,0,0,"Clear, Flat, Curved, 1/2 concave root"
Morphotypes,0,63,Morphotypes63,1,1,2,2,1,3,2,1,1,2,1,0,0,0,2,1,2,2,1,3,3,2,1,1,2,99,0,0,"Clear, Flat, Curved, 3/4 concave root"
Morphotypes,0,64,Morphotypes64,1,1,2,2,1,3,2,1,1,2,1,0,0,0,2,1,1,1,1,3,3,3,3,3,3,99,0,0,"Clear, Flat, Curved, 3/4 dome root"
Morphotypes,0,65,Morphotypes65,1,1,2,2,1,3,2,1,1,2,1,0,0,0,1,1,1,1,1,3,4,1,2,2,5,99,0,0,"Clear, Flat, curved, extended root"
Morphotypes,0,66,Morphotypes66,1,1,2,2,1,3,2,1,1,2,1,0,0,0,2,1,1,1,1,4,3,1,3,2,4,99,0,0,"Clear, flat, curved, full root"
Morphotypes,0,67,Morphotypes67,1,1,2,1,1,3,2,1,3,2,1,0,0,0,2,1,1,1,1,2,2,1,2,2,1,99,0,0,"Clear, flat, small root"
Morphotypes,0,68,Morphotypes68,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,1,1,1,1,3,3,1,2,2,1,99,0,0,"Clear, flat, straight, tall"
Morphotypes,0,69,Morphotypes69,1,1,2,1,1,3,2,1,1,1,1,0,0,0,2,1,1,1,1,2,3,2,2,2,2,99,0,0,"Clear, Flat, thin root"
Morphotypes,0,70,Morphotypes70,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,1,4,4,1,4,3,1,3,2,2,99,0,0,"Clear, full straight root"
Morphotypes,0,71,Morphotypes71,1,1,2,1,1,3,2,2,4,3,1,0,0,0,2,1,4,2,1,3,3,4,1,3,5,99,0,0,"Clear, Funnel root"
Morphotypes,0,72,Morphotypes72,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,1,1,1,1,4,3,1,3,2,1,99,0,0,"Clear, large root"
Morphotypes,0,73,Morphotypes73,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,1,1,1,1,3,2,3,3,2,2,99,0,0,"Clear, long flange"
Morphotypes,0,74,Morphotypes74,1,1,2,1,1,3,3,3,1,2,1,1,4,3,1,1,4,4,1,4,3,2,2,2,1,99,0,0,"Clear, long flange pointed tip"
Morphotypes,0,75,Morphotypes75,1,1,2,1,6,3,2,1,1,2,1,0,0,0,2,1,1,1,1,3,3,5,3,2,4,99,0,0,"Clear, long S-shape root"
Morphotypes,0,76,Morphotypes76,1,1,2,1,1,3,2,1,3,2,1,0,0,0,2,1,1,1,1,2,3,5,3,2,3,99,0,0,"Clear, long straight root"
Morphotypes,0,77,Morphotypes77,1,1,2,2,1,3,2,1,1,1,1,0,0,0,1,1,1,1,1,2,4,2,1,1,5,99,0,0,"Clear, Long, skinny root"
Morphotypes,0,78,Morphotypes78,1,1,2,1,1,3,2,1,1,2,1,0,0,0,1,1,1,1,1,3,2,1,3,2,3,99,0,0,"Clear, pointed tip, 1/2 dome root"
Morphotypes,0,79,Morphotypes79,1,1,2,2,6,3,2,1,1,2,1,0,0,0,2,1,1,1,1,4,3,2,2,2,4,99,0,0,"Clear, right, concave extended root"
Morphotypes,0,80,Morphotypes80,1,1,2,1,6,3,2,2,1,4,1,1,4,2,2,1,1,1,1,4,3,2,2,2,2,99,0,0,"Clear, right, concave root, flange"
Morphotypes,0,81,Morphotypes81,1,1,2,1,5,3,2,2,3,3,1,1,2,2,2,1,1,1,1,4,3,2,2,2,2,99,0,0,"Clear, right, concave root, small flange"
Morphotypes,0,82,Morphotypes82,1,1,2,1,2,3,2,1,1,2,1,0,0,0,2,1,2,1,1,3,2,5,3,1,3,99,0,0,"Clear, thick, concave "
Morphotypes,0,83,Morphotypes83,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,1,1,1,1,3,2,3,3,1,6,99,0,0,"Clear, vase-root"
Morphotypes,0,84,Morphotypes84,1,1,2,1,1,3,2,1,3,2,1,0,0,0,2,1,1,1,1,3,2,2,2,2,3,99,0,0,"Cloudy, 1/2 root, flare blades"
Morphotypes,0,85,Morphotypes85,1,1,2,1,3,3,2,1,1,1,1,0,0,0,3,1,5,1,1,4,1,3,3,2,3,99,0,0,"Cloudy, convex, flared bottom"
Morphotypes,0,86,Morphotypes86,1,1,2,1,1,3,2,1,3,2,1,0,0,0,1,1,1,1,1,4,3,1,2,2,3,99,0,0,"Cloudy, curve bladed"
Morphotypes,0,87,Morphotypes87,1,1,2,1,2,3,2,1,1,1,1,0,0,0,2,1,1,1,1,4,3,3,3,2,3,99,0,0,"Cloudy, extended triangle"
Morphotypes,0,88,Morphotypes88,1,1,2,1,2,3,2,1,3,2,4,0,0,0,2,1,1,1,1,3,3,1,2,2,2,99,0,0,"Cloudy, flare blades"
Morphotypes,0,89,Morphotypes89,1,1,2,2,5,2,1,0,0,0,0,0,0,0,2,1,5,1,1,3,1,1,2,2,3,99,0,0,"Cloudy, hooked"
Morphotypes,0,90,Morphotypes90,1,1,2,1,5,3,2,1,1,1,1,0,0,0,2,1,1,1,1,4,3,3,3,2,3,99,0,0,"Cloudy, right convex"
Morphotypes,0,91,Morphotypes91,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,1,1,1,1,1,1,5,2,1,2,99,0,0,"Cloudy, small thin root"
Morphotypes,0,92,Morphotypes92,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,1,1,1,1,3,2,2,2,2,3,99,0,0,"Cloudy, Triangle, 3/4 root"
Morphotypes,0,93,Morphotypes93,1,1,2,1,1,3,2,1,1,1,1,0,0,0,2,1,1,1,1,3,2,1,2,2,2,99,0,0,"Cloudy, Triangle, 3/4 root thin blades"
Morphotypes,0,94,Morphotypes94,1,1,2,1,1,3,2,1,1,1,1,0,0,0,3,1,1,1,1,3,4,1,3,2,3,99,0,0,"Cloudy, Triangle, dome root"
Morphotypes,0,95,Morphotypes95,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,1,1,1,1,3,4,2,2,2,4,99,0,0,"Cloudy, Triangle, extended root"
Morphotypes,0,96,Morphotypes96,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,1,1,1,1,4,4,2,2,2,1,99,0,0,"Cloudy, Triangle, full root"
Morphotypes,0,97,Morphotypes97,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1,1,1,1,2,1,3,3,2,3,99,0,0,Cone Elongated (no acrodin tip)
Morphotypes,0,98,Morphotypes98,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,3,1,1,1,2,1,3,3,2,3,99,0,0,Cone Elongated (with acrodin tip)
Morphotypes,0,99,Morphotypes99,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1,1,1,1,2,3,5,2,2,3,99,0,0,Cone long thin root
Morphotypes,0,100,Morphotypes100,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,3,1,1,1,2,3,1,2,2,1,99,0,0,Cone long thin root (acrodin tip)
Morphotypes,0,101,Morphotypes101,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,3,1,3,3,2,3,99,0,0,Cone pointed tip
Morphotypes,0,102,Morphotypes102,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,1,1,1,3,2,3,3,2,3,99,0,0,cone short dome root
Morphotypes,0,103,Morphotypes103,1,1,1,2,4,1,1,0,0,0,0,0,0,0,2,2,1,1,1,3,2,1,2,2,2,99,0,0,Cone small curved
Morphotypes,0,104,Morphotypes104,1,1,1,3,4,1,1,0,0,0,0,0,0,0,2,3,1,1,1,3,2,1,2,2,2,99,0,0,Cone small curved acrodin tip
Morphotypes,0,105,Morphotypes105,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,3,1,1,1,3,2,2,2,1,4,99,0,0,Cone triangle root acrodin tip
Morphotypes,0,106,Morphotypes106,1,1,2,2,1,3,2,1,4,4,1,0,0,0,2,1,1,1,1,4,3,4,3,3,5,99,0,0,"Curved (minor), large concave root"
Morphotypes,0,107,Morphotypes107,1,1,2,3,4,3,2,1,3,2,1,0,0,0,2,1,1,1,1,4,2,3,3,3,3,99,0,0,Curved triangle dome root
Morphotypes,0,108,Morphotypes108,1,1,2,3,5,3,2,2,1,4,1,1,2,2,2,1,4,1,1,3,4,2,2,2,5,99,0,0,"Curved, Flange (fat)"
Morphotypes,0,109,Morphotypes109,1,1,2,3,4,3,2,2,5,4,1,1,3,2,1,1,4,1,1,4,3,1,2,2,4,99,0,0,"Curved, Flange (large)"
Morphotypes,0,110,Morphotypes110,1,1,2,3,4,3,2,2,5,4,1,1,3,2,1,1,1,1,1,3,2,1,2,2,4,99,0,0,"Curved, Flange (large) small root"
Morphotypes,0,111,Morphotypes111,1,1,2,3,4,3,2,2,5,4,1,1,1,2,1,1,4,4,1,4,3,1,1,2,5,99,0,0,"Curved, Flange (small)"
Morphotypes,0,112,Morphotypes112,1,1,2,2,3,3,2,1,1,2,1,0,0,0,2,1,1,2,1,2,3,5,3,2,3,99,0,0,"Curved, flat, 1/2-3/4 root, convex sides"
Morphotypes,0,113,Morphotypes113,1,1,2,3,4,3,2,1,4,2,3,0,0,0,2,1,1,1,1,4,3,3,3,3,5,99,0,0,"Curved, large concave root"
Morphotypes,0,114,Morphotypes114,1,1,2,3,4,3,2,1,4,4,1,0,0,0,2,1,4,4,1,4,3,4,1,3,5,99,0,0,"Curved, large concave root, asym bottom"
Morphotypes,0,115,Morphotypes115,1,1,2,3,4,3,2,1,1,1,1,0,0,0,2,1,5,1,1,4,3,3,3,2,3,99,0,0,"Flared base, big curve"
Morphotypes,0,116,Morphotypes116,1,1,2,1,2,3,2,1,1,1,1,0,0,0,3,1,5,1,1,4,3,3,3,2,3,99,0,0,"Flared base, cloudy bladed"
Morphotypes,0,117,Morphotypes117,1,1,4,1,3,3,2,1,3,2,1,0,0,0,3,1,5,1,1,4,3,3,3,2,3,99,0,0,"Flared base, cusps"
Morphotypes,0,118,Morphotypes118,1,1,2,3,1,3,2,1,1,2,1,1,1,2,2,1,1,1,1,4,4,1,2,2,1,99,0,0,"Flared base, flange"
Morphotypes,0,119,Morphotypes119,1,1,1,1,3,1,1,0,0,0,0,0,0,0,3,1,5,1,1,4,2,3,2,2,3,99,0,0,"Flared base, short cloudy cone"
Morphotypes,0,120,Morphotypes120,1,1,1,1,3,3,2,1,1,1,1,0,0,0,1,1,5,1,1,4,3,3,3,2,2,99,0,0,"Flared base, straight bladed cone"
Morphotypes,0,121,Morphotypes121,1,1,2,1,2,3,2,1,3,2,5,0,0,0,1,1,1,1,1,4,4,3,3,2,3,99,0,0,"Flared blades, dome root"
Morphotypes,0,122,Morphotypes122,1,1,1,2,3,3,2,1,1,1,2,0,0,0,3,1,1,1,1,4,4,3,3,2,3,99,0,0,"Hooked, flat head"
Morphotypes,0,123,Morphotypes123,1,1,1,2,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,4,1,1,3,2,3,99,0,0,Large long cone
Morphotypes,0,124,Morphotypes124,1,1,1,3,4,2,2,1,1,1,1,0,0,0,1,1,5,1,1,4,3,3,3,2,3,99,0,0,Large long curved bladed cone
Morphotypes,0,125,Morphotypes125,1,1,1,1,1,3,2,1,1,1,1,0,0,0,1,1,5,1,1,4,3,3,3,2,3,99,0,0,Large long straight bladed cone
Morphotypes,0,126,Morphotypes126,1,1,1,3,4,1,1,0,0,0,0,0,0,0,1,1,5,1,1,4,1,3,3,2,3,99,0,0,Large long curved cone
Morphotypes,0,127,Morphotypes127,1,1,2,1,5,3,3,3,1,2,1,0,0,0,2,1,1,1,1,2,3,6,2,2,2,99,0,0,Mostly Blade
Morphotypes,0,128,Morphotypes128,1,1,2,2,3,3,2,1,1,2,1,0,0,0,1,1,5,1,1,4,3,3,3,2,3,99,0,0,"Pointy, Flare bottom, curve"
Morphotypes,0,129,Morphotypes129,1,1,2,1,1,3,2,1,3,2,1,0,0,0,1,1,5,1,1,4,3,1,3,2,3,99,0,0,"Pointy, flare bottom, tall"
Morphotypes,0,130,Morphotypes130,1,1,2,1,6,3,2,1,3,2,1,0,0,0,1,1,5,1,1,4,3,1,3,2,3,99,0,0,"Pointy, flare bottom, wide"
Morphotypes,0,131,Morphotypes131,1,1,2,1,3,3,2,1,1,2,1,0,0,0,1,1,5,1,1,4,3,3,3,2,3,99,0,0,"Pointy, flare, convex"
Morphotypes,0,132,Morphotypes132,1,1,2,1,6,3,2,1,1,2,1,0,0,0,2,1,1,1,1,3,2,1,1,2,2,99,0,0,"Right Triangle, flat"
Morphotypes,0,133,Morphotypes133,1,1,2,1,6,3,3,3,1,2,1,0,0,0,2,1,1,1,1,4,2,1,2,2,3,99,0,0,"Right Triangle, one blade"
Morphotypes,0,134,Morphotypes134,1,1,2,1,1,3,2,1,3,2,1,0,0,0,2,1,2,1,1,4,2,1,2,2,2,99,0,0,Short triange flared blades
Morphotypes,0,135,Morphotypes135,1,1,2,1,1,3,3,3,1,2,1,1,3,3,2,1,1,1,1,3,3,2,2,1,5,99,0,0,"Straight, half-length flange"
Morphotypes,0,136,Morphotypes136,1,1,4,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,"Straight, many cusps"
